time,open,high,low,close,volume
2021-01-11 14:06:00,554.99,555.16,554.36,554.72,1021
2021-01-11 14:05:00,555.505,555.505,555.505,555.505,407
2021-01-11 14:04:00,555.53,555.53,555.53,555.53,507
2021-01-11 14:03:00,555.74,555.74,555.12,555.12,588
2021-01-11 14:02:00,555.5,556.2,555.31,555.31,1221
2021-01-11 14:01:00,555.4225,555.4225,555.0,555.17,2481
2021-01-11 13:58:00,556.28,556.34,555.94,555.94,1408
2021-01-11 13:57:00,555.93,556.02,555.825,556.02,645
2021-01-11 13:56:00,556.01,556.01,555.77,555.905,1540
2021-01-11 13:54:00,556.07,556.185,555.78,556.185,770
2021-01-11 13:50:00,555.11,555.11,555.11,555.11,280
2021-01-11 13:48:00,554.64,555.1,554.64,555.1,310
2021-01-11 13:47:00,555.1,555.12,555.0,555.0,1110
2021-01-11 13:46:00,555.585,555.585,555.585,555.585,158
2021-01-11 13:43:00,555.75,556.01,555.75,556.01,587
2021-01-11 13:41:00,555.89,555.89,555.24,555.24,961
2021-01-11 13:39:00,556.3,556.3,556.3,556.3,280
2021-01-11 13:38:00,556.335,556.53,556.335,556.45,433
2021-01-11 13:36:00,556.0,556.0,556.0,556.0,812
2021-01-11 13:35:00,555.8725,555.8725,555.8725,555.8725,251
2021-01-11 13:33:00,555.49,555.49,555.49,555.49,114
2021-01-11 13:31:00,556.0,556.135,555.78,555.78,445
2021-01-11 13:29:00,556.12,556.28,556.03,556.03,534
2021-01-11 13:28:00,555.6924,556.17,555.32,555.75,1467
2021-01-11 13:27:00,556.23,556.23,555.9,555.9,361
2021-01-11 13:26:00,557.25,557.25,557.25,557.25,427
2021-01-11 13:25:00,557.61,557.61,557.61,557.61,1589
2021-01-11 13:24:00,557.2042,557.2042,557.2042,557.2042,215
2021-01-11 13:23:00,557.455,557.455,557.455,557.455,280
2021-01-11 13:22:00,556.79,556.79,556.2635,556.3,676
2021-01-11 13:21:00,557.31,557.31,557.0144,557.0144,688
2021-01-11 13:20:00,557.5,557.72,557.5,557.72,756
2021-01-11 13:19:00,557.07,557.3591,557.07,557.3591,1196
2021-01-11 13:17:00,557.14,557.14,557.14,557.14,218
2021-01-11 13:16:00,557.085,557.085,557.085,557.085,269
2021-01-11 13:15:00,557.1842,557.1842,557.1842,557.1842,386
2021-01-11 13:14:00,557.14,557.14,557.14,557.14,470
2021-01-11 13:13:00,556.29,556.7,556.29,556.46,7647
2021-01-11 13:12:00,556.54,556.81,556.28,556.56,1280
2021-01-11 13:10:00,556.19,556.19,555.975,556.115,1017
2021-01-11 13:09:00,556.13,556.13,556.08,556.08,1369
2021-01-11 13:06:00,556.4641,556.4641,556.0,556.0,360
2021-01-11 13:03:00,555.25,555.86,555.1,555.86,3062
2021-01-11 12:59:00,554.39,554.39,554.39,554.39,262
2021-01-11 12:58:00,554.61,554.61,554.06,554.06,623
2021-01-11 12:56:00,555.24,555.27,555.24,555.27,410
2021-01-11 12:55:00,555.7,555.7,555.7,555.7,469
2021-01-11 12:54:00,554.96,555.17,554.91,555.17,1625
2021-01-11 12:53:00,554.715,554.715,554.05,554.41,733
2021-01-11 12:50:00,554.34,554.34,554.08,554.08,454
2021-01-11 12:49:00,554.44,554.454,554.36,554.454,846
2021-01-11 12:48:00,554.76,554.76,554.76,554.76,132
2021-01-11 12:46:00,554.22,554.4,554.22,554.4,551
2021-01-11 12:42:00,553.74,553.74,553.73,553.73,493
2021-01-11 12:41:00,553.545,553.545,553.545,553.545,438
2021-01-11 12:38:00,553.385,553.58,553.285,553.58,445
2021-01-11 12:37:00,552.9,552.92,552.78,552.78,574
2021-01-11 12:36:00,552.91,553.21,552.86,553.21,554
2021-01-11 12:35:00,552.92,553.25,552.755,553.25,1102
2021-01-11 12:34:00,552.615,552.615,552.37,552.37,977
2021-01-11 12:33:00,552.45,552.45,552.41,552.41,504
2021-01-11 12:31:00,552.62,552.62,552.416,552.416,747
2021-01-11 12:30:00,552.94,552.94,552.77,552.77,1067
2021-01-11 12:29:00,553.21,553.24,553.21,553.24,548
2021-01-11 12:25:00,553.34,553.34,553.27,553.27,711
2021-01-11 12:24:00,553.695,553.695,553.34,553.34,510
2021-01-11 12:23:00,553.31,553.31,553.31,553.31,274
2021-01-11 12:22:00,553.645,553.88,553.36,553.36,1176
2021-01-11 12:21:00,553.578,553.75,553.23,553.23,801
2021-01-11 12:20:00,554.75,554.75,553.93,553.93,1262
2021-01-11 12:19:00,554.98,554.98,554.98,554.98,123
2021-01-11 12:18:00,554.94,554.94,554.94,554.94,212
2021-01-11 12:17:00,554.56,554.56,554.56,554.56,198
2021-01-11 12:14:00,555.43,555.43,554.98,554.98,953
2021-01-11 12:13:00,555.78,556.4299,555.48,556.4299,2151
2021-01-11 12:11:00,555.08,555.17,555.08,555.17,579
2021-01-11 12:10:00,554.989,554.989,554.989,554.989,419
2021-01-11 12:09:00,554.72,554.72,554.72,554.72,152
2021-01-11 12:08:00,554.75,554.75,554.74,554.74,326
2021-01-11 12:07:00,555.41,555.41,554.965,555.09,7189
2021-01-11 12:05:00,555.31,555.31,555.26,555.26,815
2021-01-11 12:04:00,554.44,554.85,554.44,554.85,909
2021-01-11 12:03:00,554.69,554.87,554.69,554.87,624
2021-01-11 12:02:00,554.62,554.62,554.43,554.43,1921
2021-01-11 12:01:00,554.24,554.24,554.24,554.24,571
2021-01-11 12:00:00,554.2869,554.2869,554.2869,554.2869,599
2021-01-11 11:59:00,553.66,553.9,553.5,553.9,1593
2021-01-11 11:58:00,552.9438,553.325,552.9438,553.325,896
2021-01-11 11:57:00,552.78,553.06,552.78,553.05,755
2021-01-11 11:56:00,552.5966,552.5966,552.5,552.5,453
2021-01-11 11:55:00,552.5,552.5,552.5,552.5,403
2021-01-11 11:53:00,552.53,552.79,552.26,552.26,562
2021-01-11 11:52:00,552.3,552.3,552.3,552.3,153
2021-01-11 11:51:00,552.59,552.786,552.38,552.38,1378
2021-01-11 11:50:00,552.345,552.345,552.345,552.345,112
2021-01-11 11:49:00,552.0,552.7,551.85,552.4682,832
2021-01-11 11:48:00,551.975,552.15,551.87,551.885,2346
2021-01-11 11:47:00,552.31,552.31,551.8254,551.95,920
2021-01-11 11:46:00,552.91,552.91,552.765,552.765,462
2021-01-11 11:45:00,553.63,553.63,553.0,553.01,3044
2021-01-11 11:43:00,554.17,554.34,553.795,553.795,1095
2021-01-11 11:42:00,554.19,554.19,554.19,554.19,216
2021-01-11 11:41:00,555.2,555.2,554.54,554.54,442
2021-01-11 11:40:00,555.48,555.48,555.48,555.48,130
2021-01-11 11:39:00,555.2453,555.2453,555.2453,555.2453,406
2021-01-11 11:37:00,555.73,555.73,555.68,555.68,709
2021-01-11 11:36:00,555.845,556.01,555.59,556.01,605
2021-01-11 11:35:00,555.685,556.14,555.685,556.14,614
2021-01-11 11:34:00,555.59,555.8,555.59,555.65,1462
2021-01-11 11:33:00,556.29,556.29,555.74,555.74,611
2021-01-11 11:32:00,556.4651,556.4651,556.225,556.29,743
2021-01-11 11:31:00,556.43,556.49,556.22,556.22,642
2021-01-11 11:30:00,556.67,557.045,556.67,556.69,539
2021-01-11 11:29:00,556.68,556.8471,556.68,556.8471,849
2021-01-11 11:27:00,556.51,556.615,556.49,556.615,809
2021-01-11 11:26:00,555.67,555.67,555.67,555.67,131
2021-01-11 11:25:00,556.0,556.285,556.0,556.2,1492
2021-01-11 11:24:00,555.74,556.15,555.74,555.945,1534
2021-01-11 11:23:00,555.5115,555.74,555.5115,555.74,929
2021-01-11 11:20:00,555.09,555.3,554.855,555.3,1776
2021-01-11 11:18:00,555.72,556.195,555.72,555.78,1064
2021-01-11 11:17:00,556.22,556.22,556.22,556.22,447
2021-01-11 11:16:00,555.75,555.75,555.75,555.75,140
2021-01-11 11:15:00,556.72,556.72,556.72,556.72,372
2021-01-11 11:14:00,555.3,556.72,555.3,556.72,995
2021-01-11 11:13:00,555.56,555.965,555.39,555.39,814
2021-01-11 11:12:00,556.42,556.42,555.62,555.99,1337
2021-01-11 11:11:00,557.13,557.24,557.13,557.24,1045
2021-01-11 11:10:00,557.44,557.47,557.44,557.47,505
2021-01-11 11:08:00,557.26,557.26,557.26,557.26,283
2021-01-11 11:07:00,557.05,557.48,557.05,557.48,784
2021-01-11 11:06:00,556.76,557.46,556.76,557.43,1023
2021-01-11 11:05:00,556.9684,556.9684,556.5249,556.5249,776
2021-01-11 11:04:00,557.17,557.17,557.01,557.1,849
2021-01-11 11:02:00,557.05,557.23,556.83,556.83,1464
2021-01-11 11:01:00,557.55,557.55,556.58,557.05,4197
2021-01-11 11:00:00,557.315,557.72,557.31,557.465,1387
2021-01-11 10:59:00,557.7125,557.7175,557.27,557.7175,694
2021-01-11 10:58:00,557.47,557.47,557.28,557.28,1052
2021-01-11 10:57:00,557.64,558.009,557.4466,558.009,994
2021-01-11 10:55:00,557.57,557.6,557.57,557.6,791
2021-01-11 10:52:00,557.47,557.47,557.47,557.47,309
2021-01-11 10:51:00,557.4,557.4,557.11,557.11,963
2021-01-11 10:50:00,557.715,557.8725,557.715,557.72,618
2021-01-11 10:49:00,557.43,558.56,557.4,558.035,692
2021-01-11 10:48:00,557.45,557.985,557.45,557.985,570
2021-01-11 10:47:00,557.66,557.66,557.66,557.66,189
2021-01-11 10:45:00,557.7268,557.84,557.7268,557.84,587
2021-01-11 10:44:00,557.7,558.08,557.6,557.8738,1345
2021-01-11 10:43:00,556.72,557.895,556.72,557.895,1707
2021-01-11 10:42:00,557.3743,557.3743,557.3743,557.3743,343
2021-01-11 10:41:00,557.675,557.675,557.35,557.35,1025
2021-01-11 10:40:00,558.43,558.43,558.43,558.43,334
2021-01-11 10:39:00,557.93,558.2,557.475,557.75,2311
2021-01-11 10:37:00,557.37,557.7501,557.37,557.7501,850
2021-01-11 10:36:00,558.2,558.2,557.02,557.02,1217
2021-01-11 10:35:00,558.42,558.505,558.2196,558.2196,752
2021-01-11 10:34:00,557.36,558.51,557.36,557.75,1306
2021-01-11 10:33:00,558.49,558.77,558.49,558.505,512
2021-01-11 10:32:00,558.675,559.13,558.63,558.63,1231
2021-01-11 10:31:00,560.13,560.13,559.95,559.95,636
2021-01-11 10:29:00,558.615,559.81,558.615,559.81,487
2021-01-11 10:28:00,560.13,560.13,558.83,559.45,3463
2021-01-11 10:27:00,560.9,560.9,560.15,560.68,1340
2021-01-11 10:25:00,560.815,560.815,560.815,560.815,118
2021-01-11 10:24:00,560.89,560.89,560.74,560.74,494
2021-01-11 10:23:00,560.9258,561.355,560.9258,560.93,1924
2021-01-11 10:21:00,561.02,561.02,561.02,561.02,154
2021-01-11 10:20:00,560.84,560.84,560.84,560.84,264
2021-01-11 10:19:00,561.07,561.1025,560.6428,560.6428,587
2021-01-11 10:18:00,561.165,561.165,561.165,561.165,476
2021-01-11 10:17:00,561.6001,561.6001,561.13,561.16,457
2021-01-11 10:16:00,561.16,561.16,560.355,560.355,320
2021-01-11 10:15:00,560.535,561.04,560.535,561.04,263
2021-01-11 10:13:00,561.0,561.0,560.97,560.97,676
2021-01-11 10:11:00,561.93,561.93,561.0,561.0,817
2021-01-11 10:10:00,562.275,562.275,562.275,562.275,355
2021-01-11 10:09:00,563.18,563.18,563.18,563.18,144
2021-01-11 10:08:00,562.785,562.79,562.785,562.79,475
2021-01-11 10:07:00,561.82,561.89,561.77,561.89,1378
2021-01-11 10:04:00,562.03,562.03,562.03,562.03,261
2021-01-11 10:03:00,561.455,561.455,561.455,561.455,659
2021-01-11 10:02:00,561.55,561.55,561.55,561.55,550
2021-01-11 10:01:00,562.985,562.985,562.985,562.985,368
2021-01-11 10:00:00,561.95,561.95,561.95,561.95,474
2021-01-11 09:59:00,561.32,561.95,561.32,561.95,862
2021-01-11 09:58:00,562.57,563.09,560.84,560.84,3608
2021-01-11 09:57:00,562.08,563.0725,562.0,563.0725,1137
2021-01-11 09:56:00,562.19,562.97,562.19,562.97,346
2021-01-11 09:54:00,563.005,563.33,563.005,563.33,953
2021-01-11 09:53:00,563.015,563.015,563.015,563.015,486
2021-01-11 09:52:00,563.14,565.2,563.14,563.47,596
2021-01-11 09:51:00,563.02,563.02,563.0,563.0,496
2021-01-11 09:50:00,564.515,564.515,564.515,564.515,351
2021-01-11 09:49:00,564.42,564.42,564.42,564.42,165
2021-01-11 09:48:00,564.7,564.7,564.7,564.7,237
2021-01-11 09:47:00,564.28,564.73,564.28,564.42,626
2021-01-11 09:46:00,564.975,564.975,564.975,564.975,318
2021-01-11 09:44:00,564.9,564.9,564.9,564.9,253
2021-01-11 09:43:00,565.975,565.975,564.98,564.98,640
2021-01-11 09:42:00,564.43,565.32,564.43,564.53,551
2021-01-11 09:41:00,566.1,566.1,566.06,566.06,562
2021-01-11 09:40:00,563.39,565.895,563.39,565.895,1184
2021-01-11 09:39:00,563.7248,563.7248,563.68,563.68,653
2021-01-11 09:37:00,563.0,563.0,563.0,563.0,492
2021-01-11 09:36:00,564.4099,564.4099,561.99,561.99,523
2021-01-11 09:34:00,563.32,563.32,563.32,563.32,155
2021-01-11 09:33:00,562.93,563.915,562.925,563.51,900
2021-01-11 09:32:00,561.6,561.6,561.6,561.6,192
2021-01-11 09:31:00,565.01,565.01,560.0,560.0,8151
